institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
The Regional State Archives in Kongsberg,the-regional-state-archives-in-kongsberg,Norway,Europe,NO-00000002072,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000002072,,https://www.arkivverket.no/tjenester,True,True
The Regional State Archives in Kristiansand,the-regional-state-archives-in-kristiansand,Norway,Europe,NO-A4,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A4,,https://www.arkivverket.no/tjenester,True,True
The Regional State Archives in Oslo,the-regional-state-archives-in-oslo,Norway,Europe,NO-A5,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A5,,,False,True
The Regional State Archives in Stavanger,the-regional-state-archives-in-stavanger,Norway,Europe,NO-A6,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A6,,,False,True
The Regional State Archives in Trondheim,the-regional-state-archives-in-trondheim,Norway,Europe,NO-A8,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A8,,https://www.arkivverket.no/tjenester,True,True
The Sámi Archives,the-s-mi-archives,Norway,Europe,NO-A9,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A9,,,False,True
Trondheim byarkiv,trondheim-byarkiv,Norway,Europe,NO-00000028843,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028843,,,False,True
Ulvik lokalhistorisk arkiv,ulvik-lokalhistorisk-arkiv,Norway,Europe,NO-00000028319,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028319,Specialised non-governmental archives and archives of other cultural (heritage) institutions,,False,True
Universitetsbiblioteket i Bergen,universitetsbiblioteket-i-bergen,Norway,Europe,NO-00000028320,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028320,University and research archives,https://skeivtarkiv.no/,True,True
Valdresmusea AS,valdresmusea-as,Norway,Europe,NO-00000028832,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028832,,https://valdresmusea.no/,True,True
